type,statement
Most active (top 10; ties included),California (6/6); Colorado (6/6); Massachusetts (6/6); New Jersey (6/6); Connecticut (5/6); Delaware (5/6); Maryland (5/6); North Carolina (5/6); Vermont (5/6); Michigan (4/6); Minnesota (4/6); New York (4/6); Ohio (4/6); Rhode Island (4/6)
Least active (bottom 10; ties included),Alabama (1/6); Alaska (1/6); American Samoa (1/6); Guam (1/6); Kentucky (1/6); Mississippi (1/6); Missouri (1/6); Nebraska (1/6); New Mexico (1/6); Northern Mariana Islands (1/6); Oregon (1/6); South Carolina (1/6); U.S. Virgin Islands (1/6); Wisconsin (1/6); Puerto Rico (0/6); South Dakota (0/6)
