period,region,count
Early (2019–2021),Midwest,2
Early (2019–2021),Northeast,2
Early (2019–2021),South,5
Early (2019–2021),West,4
Late (2023–2025),Midwest,6
Late (2023–2025),Northeast,7
Late (2023–2025),South,20
Late (2023–2025),Territories,1
Late (2023–2025),West,9
